,Election,CandidateID,CandidateName,Date,Name,ContributerType,BoroughName,City,State,ZipCode,ContributionState,Amount,MatchAmt,PrevAmt,PayMethod,TotalAmount
67,2017,,"Albanese, Sal F",,FIREPAC,Political Action Committee,Manhattan,New York,NY,10010.0,,1000.0,0.0,0.0,Check,1000.0
68,2017,,"Albanese, Sal F",,FIREPAC,Political Action Committee,Manhattan,New York,NY,10010.0,,3000.0,0.0,1000.0,Check,4000.0
69,2017,326.0,"de Blasio, Bill",,Friends of Aravella,Political Action Committee,Other,Stamford,CT,6905.0,,4950.0,0.0,0.0,Check,4950.0
70,2017,2071.0,"Malliotakis, Nicole",,Friends of Brian Kolb,Other,Other,Canandaigua,NY,14424.0,,2000.0,0.0,0.0,Check,2000.0
71,2017,2071.0,"Malliotakis, Nicole",,FRIENDS OF CAHILL,Other,Queens,Flushing,NY,10591.0,,1000.0,0.0,0.0,Check,1000.0
72,2017,2071.0,"Malliotakis, Nicole",,FRIENDS OF CAHILL,Other,Queens,Flushing,NY,10591.0,,-1000.0,0.0,0.0,Unknown,-1000.0
73,2017,326.0,"de Blasio, Bill",,Friends of Cultural Institutio,Political Action Committee,Other,Albany,NY,12207.0,,3000.0,0.0,0.0,Check,3000.0
74,2017,2071.0,"Malliotakis, Nicole",,FRIENDS OF MARTY GOLDEN,Political Action Committee,Brooklyn,Brooklyn,NY,11228.0,,500.0,0.0,0.0,Check,500.0
75,2017,326.0,"de Blasio, Bill",,"Gary Jones, Stacey Snider Ttee",Other,Other,Los Angeles,CA,90024.0,,4950.0,0.0,0.0,Check,4950.0
76,2017,326.0,"de Blasio, Bill",,Greenberg Taurig PAC,Political Action Committee,Manhattan,New York,NY,10166.0,,4950.0,0.0,0.0,Check,4950.0
77,2017,326.0,"de Blasio, Bill",,Greenfield NYC,Candidate Committee,Brooklyn,Brooklyn,NY,11230.0,,1000.0,0.0,0.0,Check,1000.0
78,2017,326.0,"de Blasio, Bill",,Gutman Mintz Baker & Sonnenfet,Corporation,Queens,New Hyde Park,NY,11040.0,,1000.0,0.0,0.0,Credit Card,1000.0
79,2017,326.0,"de Blasio, Bill",,Gutman Mintz Baker & Sonnenfet,Corporation,Queens,New Hyde Park,NY,11040.0,,-1000.0,0.0,0.0,Unknown,-1000.0
80,2017,326.0,"de Blasio, Bill",,HANYC Political Action Committ,Political Action Committee,Manhattan,New York,NY,10022.0,,750.0,0.0,0.0,Check,750.0
81,2017,326.0,"de Blasio, Bill",,HF Responsibility Fund,Political Action Committee,Manhattan,New York,NY,10016.0,,2500.0,0.0,0.0,Check,2500.0
82,2017,326.0,"de Blasio, Bill",,HNTB Holdings LTD,Political Action Committee,Other,Kansas City,MO,64105.0,,1000.0,0.0,0.0,Check,1000.0
83,2017,326.0,"de Blasio, Bill",,HNTB Holdings LTD,Political Action Committee,Other,Kansas City,MO,64105.0,,-1000.0,0.0,0.0,Unknown,-1000.0
84,2017,326.0,"de Blasio, Bill",,Howard L. Gottlieb Living Trus,Other,Other,Skokie,IL,60077.0,,4950.0,0.0,0.0,Check,4950.0
85,2017,326.0,"de Blasio, Bill",,I.B.E.W. New York PAC,Political Action Committee,Other,Washington,DC,20001.0,,1000.0,0.0,0.0,Check,1000.0
86,2017,326.0,"de Blasio, Bill",,I.B.E.W. New York PAC,Political Action Committee,Other,Washington,DC,20001.0,,3950.0,0.0,1000.0,Check,4950.0
87,2017,326.0,"de Blasio, Bill",,IBEW Local Union No. 3,Labor Union,Queens,Fresh Meadows,NY,11365.0,,4950.0,0.0,0.0,Check,4950.0
88,2017,326.0,"de Blasio, Bill",,IBT Joint Council No 16,Political Action Committee,Manhattan,New York,NY,10011.0,,4950.0,0.0,0.0,Check,4950.0
89,2017,326.0,"de Blasio, Bill",,Illinois Federation of Teacher,Political Action Committee,Other,Westmont,IL,60559.0,,1000.0,0.0,0.0,Check,1000.0
90,2017,326.0,"de Blasio, Bill",,International Alliance of Thea,Political Action Committee,Manhattan,New York,NY,10001.0,,1000.0,0.0,0.0,Check,1000.0
91,2017,326.0,"de Blasio, Bill",,Intl Union Oper Engin 14-14B,Political Action Committee,Queens,Flushing,NY,11354.0,,4950.0,0.0,0.0,Check,4950.0
92,2017,326.0,"de Blasio, Bill",,"Intl Union Oper Engin 15, 15A",Political Action Committee,Queens,Long Island City,NY,11101.0,,4950.0,0.0,0.0,Check,4950.0
93,2017,326.0,"de Blasio, Bill",,IUOE LOCAL 30,Party Committee,Queens,Whitestone,NY,11357.0,,4950.0,0.0,0.0,Check,4950.0
94,2017,326.0,"de Blasio, Bill",,Jackson Lewis P.C. Poltical Ac,Political Action Committee,Other,Albany,NY,12207.0,,250.0,0.0,0.0,Check,250.0
95,2017,2071.0,"Malliotakis, Nicole",,JANOVER LLC,Limited Liability Company,Manhattan,New York,NY,10022.0,,-312.13,0.0,0.0,Unknown,-312.13
96,2017,2071.0,"Malliotakis, Nicole",,Kings County Conservative Part,Political Action Committee,Brooklyn,Brooklyn,NY,11209.0,,1000.0,0.0,1350.0,Check,2350.0
97,2017,2071.0,"Malliotakis, Nicole",,Kings County Conservative Part,Political Action Committee,Brooklyn,Brooklyn,NY,11209.0,,1000.0,0.0,0.0,Check,1000.0
98,2017,2071.0,"Malliotakis, Nicole",,Kings County Conservative Part,Political Action Committee,Brooklyn,Brooklyn,NY,11209.0,,350.0,0.0,1000.0,Check,1350.0
99,2017,2071.0,"Malliotakis, Nicole",,Kings County Republican Party,Political Action Committee,Brooklyn,Brooklyn,NY,11209.0,,500.0,0.0,250.0,Check,750.0
100,2017,2071.0,"Malliotakis, Nicole",,Kings County Republican Party,Political Action Committee,Brooklyn,Brooklyn,NY,11209.0,,250.0,0.0,0.0,Check,250.0
101,2017,2071.0,"Malliotakis, Nicole",,Kings County Republican Party,Political Action Committee,Brooklyn,Brooklyn,NY,11209.0,,-250.0,0.0,0.0,Unknown,-250.0
102,2017,,"Albanese, Sal F",,Lietenants Benevolent Associat,Political Action Committee,Manhattan,New York,NY,10038.0,,500.0,0.0,0.0,Check,500.0
103,2017,2071.0,"Malliotakis, Nicole",,Lieutenants Benevolent Assoc.,Political Action Committee,Manhattan,New York,NY,10038.0,,1000.0,0.0,0.0,Check,1000.0
104,2017,2071.0,"Malliotakis, Nicole",,Lieutenants Benevolent Assoc.,Political Action Committee,Manhattan,New York,NY,10038.0,,1000.0,0.0,1000.0,Check,2000.0
